geo_name|st|White Alone|Black Alone|Total White and Black
Phelps County|MO|41409|1008|42417
Pike County|MO|16698|1333|18031
Platte County|MO|77914|5270|83184
Polk County|MO|29946|235|30181
Pulaski County|MO|40506|5984|46490
Putnam County|MO|4889|9|4898
Ralls County|MO|9892|108|10000
Randolph County|MO|23133|1490|24623
Ray County|MO|22635|280|22915
Reynolds County|MO|6477|45|6522
Ripley County|MO|13649|49|13698
St. Charles County|MO|327018|14960|341978
St. Clair County|MO|9464|53|9517
Ste. Genevieve County|MO|17715|118|17833
St. Francois County|MO|61180|2775|63955
St. Louis County|MO|701948|233029|934977
Saline County|MO|20135|1235|21370
Schuyler County|MO|4369|1|4370
Scotland County|MO|4776|3|4779
Scott County|MO|33606|4468|38074
Shannon County|MO|8103|17|8120
Shelby County|MO|6249|32|6281
Stoddard County|MO|29150|275|29425
Stone County|MO|31299|53|31352
Sullivan County|MO|5957|34|5991
Taney County|MO|48375|449|48824
Texas County|MO|24332|876|25208
Vernon County|MO|20409|102|20511
Warren County|MO|30685|621|31306
Washington County|MO|24142|557|24699
Wayne County|MO|13138|38|13176
Webster County|MO|34855|326|35181
Worth County|MO|2121|12|2133
Wright County|MO|18289|88|18377
St. Louis city|MO|140267|157160|297427
Beaverhead County|MT|8765|23|8788
Big Horn County|MT|4035|31|4066
Blaine County|MT|3130|7|3137
Broadwater County|MT|5401|15|5416
Carbon County|MT|9793|33|9826
Carter County|MT|1135|1|1136
Cascade County|MT|72584|1010|73594
Chouteau County|MT|4409|3|4412
Custer County|MT|11174|34|11208
Daniels County|MT|1676|3|1679
Dawson County|MT|8582|27|8609
Deer Lodge County|MT|8660|38|8698
Fallon County|MT|2814|2|2816
Fergus County|MT|11193|25|11218
Flathead County|MT|86802|201|87003
Gallatin County|MT|85084|289|85373
Garfield County|MT|1189|3|1192
Glacier County|MT|4165|17|4182
Golden Valley County|MT|831|0|831
Granite County|MT|3001|3|3004
Hill County|MT|11896|50|11946
Jefferson County|MT|10889|16|10905
Judith Basin County|MT|2036|1|2037
Lake County|MT|19945|98|20043
Lewis and Clark County|MT|59605|217|59822
Liberty County|MT|2296|2|2298
Lincoln County|MT|18881|23|18904
McCone County|MT|1699|4|1703
Madison County|MT|7445|15|7460
Meagher County|MT|1852|2|1854
Mineral County|MT|4007|11|4018
Missoula County|MT|101320|445|101765
Musselshell County|MT|4360|10|4370
Park County|MT|15090|21|15111
Petroleum County|MT|488|0|488
Phillips County|MT|3702|1|3703
Pondera County|MT|5086|7|5093
Powder River County|MT|1656|1|1657
Powell County|MT|6494|69|6563
Prairie County|MT|1136|0|1136
Ravalli County|MT|38546|79|38625
Richland County|MT|9259|13|9272
Roosevelt County|MT|3736|13|3749
Rosebud County|MT|5664|25|5689
Sanders County|MT|10453|17|10470
Sheridan County|MT|3229|7|3236
Silver Bow County|MT|32292|111|32403
Stillwater County|MT|8823|9|8832
Sweet Grass County|MT|3528|4|3532
Teton County|MT|5847|3|5850
Toole County|MT|4896|29|4925
Treasure County|MT|674|0|674
Valley County|MT|6409|17|6426
Wheatland County|MT|2078|7|2085
Wibaux County|MT|993|0|993
Yellowstone County|MT|134228|935|135163
Adams County|NE|28821|248|29069
Antelope County|NE|6517|19|6536
Arthur County|NE|439|0|439
Banner County|NE|660|0|660
Blaine County|NE|474|1|475
Boone County|NE|5422|23|5445
Box Butte County|NE|10149|52|10201
Boyd County|NE|2035|1|2036
Brown County|NE|3088|2|3090
Buffalo County|NE|42746|383|43129
Burt County|NE|6579|26|6605
Butler County|NE|8192|24|8216
Cass County|NE|24457|87|24544
Cedar County|NE|8703|7|8710
Chase County|NE|3644|5|3649
Cherry County|NE|5180|13|5193
Cheyenne County|NE|9404|19|9423
Clay County|NE|6082|22|6104
Colfax County|NE|7635|89|7724
Cuming County|NE|8518|13|8531
Custer County|NE|10663|28|10691
Dakota County|NE|14810|660|15470
Dawes County|NE|8208|134|8342
Dawson County|NE|18978|744|19722
Deuel County|NE|1883|1|1884
Dixon County|NE|5548|18|5566
Dodge County|NE|33337|205|33542
Douglas County|NE|395025|60071|455096
Dundy County|NE|1914|7|1921
Fillmore County|NE|5703|36|5739
Franklin County|NE|3163|2|3165
Frontier County|NE|2711|0|2711
Furnas County|NE|4804|10|4814
Gage County|NE|21610|72|21682
Garden County|NE|1987|4|1991
Garfield County|NE|2033|3|2036
Gosper County|NE|1984|8|1992
Grant County|NE|604|0|604
Greeley County|NE|2478|16|2494
Hall County|NE|48413|1023|49436
Hamilton County|NE|8955|19|8974
Harlan County|NE|3367|1|3368
Hayes County|NE|939|0|939
Hitchcock County|NE|2839|7|2846
Holt County|NE|10132|16|10148
Hooker County|NE|728|0|728
Howard County|NE|6122|15|6137
Jefferson County|NE|7323|24|7347
Johnson County|NE|4546|278|4824
Kearney County|NE|6284|12|6296
Keith County|NE|8005|18|8023
Keya Paha County|NE|817|0|817
Kimball County|NE|3599|6|3605
Knox County|NE|7753|8|7761
Lancaster County|NE|248615|9920|258535
Lincoln County|NE|34229|262|34491
Logan County|NE|751|1|752
Loup County|NE|625|1|626
McPherson County|NE|529|2|531
Madison County|NE|30752|444|31196
Merrick County|NE|7550|15|7565
Morrill County|NE|4600|12|4612
Nance County|NE|3659|8|3667
Nemaha County|NE|7026|63|7089
Nuckolls County|NE|4383|6|4389
Otoe County|NE|14932|75|15007
Pawnee County|NE|2708|9|2717
Perkins County|NE|2884|11|2895
Phelps County|NE|8899|13|8912
Pierce County|NE|7147|14|7161
Platte County|NE|29021|145|29166
Polk County|NE|5292|6|5298
Red Willow County|NE|10612|81|10693
Richardson County|NE|7886|15|7901
Rock County|NE|1503|1|1504
Saline County|NE|11783|125|11908
Sarpy County|NE|138879|6321|145200
Saunders County|NE|20201|71|20272
Scotts Bluff County|NE|32307|204|32511
Seward County|NE|16315|60|16375
Sheridan County|NE|4629|12|4641
Sherman County|NE|3122|3|3125
Sioux County|NE|1260|1|1261
Stanton County|NE|5814|41|5855
Thayer County|NE|5120|12|5132
Thomas County|NE|635|1|636
Thurston County|NE|2801|17|2818
Valley County|NE|4152|6|4158
Washington County|NE|19673|122|19795
Wayne County|NE|9091|129|9220
Webster County|NE|3659|18|3677
Wheeler County|NE|804|0|804
York County|NE|12980|158|13138
Churchill County|NV|20407|395|20802
Clark County|NV|1188112|204379|1392491
Douglas County|NV|42130|201|42331
Elko County|NV|38772|378|39150
Esmeralda County|NV|661|0|661
Eureka County|NV|1775|2|1777
Humboldt County|NV|13053|87|13140
Lander County|NV|4853|20|4873
Lincoln County|NV|4871|121|4992
Lyon County|NV|44164|417|44581
Mineral County|NV|3462|196|3658
Nye County|NV|37755|874|38629
Pershing County|NV|5528|253|5781
Storey County|NV|3693|40|3733
Washoe County|NV|324070|9814|333884
White Pine County|NV|8575|395|8970
Carson City|NV|44807|1054|45861
Belknap County|NH|58059|279|58338
Carroll County|NH|46627|139|46766
Cheshire County|NH|74239|390|74629
Coos County|NH|32045|148|32193
Grafton County|NH|83386|828|84214
Hillsborough County|NH|362153|8298|370451
Merrimack County|NH|139609|1530|141139
Rockingham County|NH|281966|1996|283962
Strafford County|NH|115545|1242|116787
Sullivan County|NH|42421|185|42606
Atlantic County|NJ|179566|44138|223704
Bergen County|NJ|650703|52473|703176
Burlington County|NJ|331342|74505|405847
Camden County|NJ|335389|100441|435830
Cape May County|NJ|87369|4565|91934
Cumberland County|NJ|98430|31741|130171
Essex County|NJ|333868|320479|654347
Gloucester County|NJ|240890|29006|269896
Hudson County|NJ|342792|83925|426717
Hunterdon County|NJ|117264|3451|120715
Mercer County|NJ|225011|74318|299329
Middlesex County|NJ|474589|78462|553051
Monmouth County|NJ|520716|46443|567159
Morris County|NJ|406683|15360|422043
Ocean County|NJ|524577|18164|542741
Passaic County|NJ|314001|64295|378296
Salem County|NJ|52757|9309|62066
Somerset County|NJ|226608|28943|255551
Sussex County|NJ|139504|2677|142181
Union County|NJ|329052|118313|447365
Warren County|NJ|98137|3818|101955
Bernalillo County|NM|459660|19652|479312
Catron County|NM|3344|16|3360
Chaves County|NM|46518|1323|47841
Cibola County|NM|11386|275|11661
Colfax County|NM|11522|64|11586
Curry County|NM|33728|3055|36783
De Baca County|NM|1766|3|1769
Doña Ana County|NM|154989|3656|158645
Eddy County|NM|41667|743|42410
Grant County|NM|25058|255|25313
Guadalupe County|NM|3298|79|3377
Harding County|NM|604|2|606
Hidalgo County|NM|4177|29|4206
Lea County|NM|48539|2641|51180
Lincoln County|NM|17439|96|17535
Los Alamos County|NM|15765|102|15867
Luna County|NM|19511|288|19799
McKinley County|NM|10834|360|11194
Mora County|NM|3462|32|3494
Otero County|NM|46352|2251|48603
Quay County|NM|7781|103|7884
Rio Arriba County|NM|20778|204|20982
Roosevelt County|NM|15252|364|15616
Sandoval County|NM|89482|2800|92282
San Juan County|NM|67048|756|67804
San Miguel County|NM|19583|412|19995
Santa Fe County|NM|109800|1239|111039
Sierra County|NM|10265|49|10314
Socorro County|NM|13424|188|13612
Taos County|NM|22639|143|22782
Torrance County|NM|12460|219|12679
Union County|NM|3718|80|3798
Valencia County|NM|56027|1071|57098
Albany County|NY|237873|38609|276482
Allegany County|NY|47085|524|47609
Bronx County|NY|386497|505200|891697
Broome County|NY|176444|9614|186058
Cattaraugus County|NY|74639|1024|75663
Cayuga County|NY|74042|3195|77237
Chautauqua County|NY|124875|3197|128072
Chemung County|NY|78771|5828|84599
Chenango County|NY|48896|345|49241
Clinton County|NY|75997|3209|79206
Columbia County|NY|57136|2855|59991
Cortland County|NY|46901|760|47661
Delaware County|NY|45675|779|46454
Dutchess County|NY|238387|29518|267905
Erie County|NY|735244|123931|859175
Essex County|NY|37100|1073|38173
Franklin County|NY|43437|3127|46564
Fulton County|NY|52948|1060|54008
Genesee County|NY|55787|1612|57399
Greene County|NY|44440|2826|47266
Hamilton County|NY|4705|35|4740
Herkimer County|NY|62320|700|63020
Jefferson County|NY|103047|5876|108923
Kings County|NY|1072041|860083|1932124
Lewis County|NY|26465|184|26649
Livingston County|NY|61363|1598|62961
Madison County|NY|69740|1350|71090
Monroe County|NY|566535|113171|679706
Montgomery County|NY|45519|951|46470
Nassau County|NY|977577|149049|1126626
New York County|NY|911073|246687|1157760
Niagara County|NY|191673|14851|206524
Oneida County|NY|204679|14688|219367
Onondaga County|NY|378885|51220|430105
Ontario County|NY|101078|2432|103510
Orange County|NY|287802|37946|325748
Orleans County|NY|38528|2523|41051
Oswego County|NY|117632|972|118604
Otsego County|NY|58935|1066|60001
Putnam County|NY|90470|2350|92820
Queens County|NY|886053|426683|1312736
Rensselaer County|NY|139529|10338|149867
Richmond County|NY|341677|49857|391534
Rockland County|NY|228295|37058|265353
St. Lawrence County|NY|105064|2420|107484
Saratoga County|NY|207181|3269|210450
Schenectady County|NY|123211|14710|137921
Schoharie County|NY|31402|435|31837
Schuyler County|NY|17803|159|17962
Seneca County|NY|32591|1607|34198
Steuben County|NY|94315|1540|95855
Suffolk County|NY|1206297|111224|1317521
Sullivan County|NY|63560|7039|70599
Tioga County|NY|49556|375|49931
Tompkins County|NY|83941|4020|87961
Ulster County|NY|158184|10982|169166
Warren County|NY|63391|590|63981
Washington County|NY|59815|1893|61708
Wayne County|NY|87148|2887|90035
Westchester County|NY|646471|138118|784589
Wyoming County|NY|38602|2375|40977
Yates County|NY|24647|203|24850
Alamance County|NC|107420|28369|135789
Alexander County|NC|33324|2043|35367
Alleghany County|NC|10288|140|10428
Anson County|NC|12707|13090|25797
Ashe County|NC|26050|161|26211
Avery County|NC|16364|709|17073
Beaufort County|NC|32551|12223|44774
Bertie County|NC|7488|13296|20784
Bladen County|NC|19806|12268|32074
Brunswick County|NC|89193|12291|101484
Buncombe County|NC|208192|15211|223403
Burke County|NC|76716|6012|82728
Cabarrus County|NC|134149|27219|161368
Caldwell County|NC|74925|4086|79011
Camden County|NC|8193|1316|9509
Carteret County|NC|59346|4041|63387
Caswell County|NC|14819|8020|22839
Catawba County|NC|126151|13041|139192
Chatham County|NC|48237|8392|56629
Cherokee County|NC|25700|350|26050
Chowan County|NC|9174|5070|14244
Clay County|NC|10231|64|10295
Cleveland County|NC|74123|20332|94455
Columbus County|NC|35735|17713|53448
Craven County|NC|72441|23193|95634
Cumberland County|NC|164064|117117|281181
Currituck County|NC|21268|1361|22629
Dare County|NC|31313|834|32147
Davidson County|NC|137359|14421|151780
Davie County|NC|36100|2593|38693
Duplin County|NC|33449|14773|48222
Durham County|NC|124274|101577|225851
Edgecombe County|NC|21923|32435|54358
Forsyth County|NC|218517|91227|309744
Franklin County|NC|40003|16212|56215
Gaston County|NC|161166|31431|192597
Gates County|NC|7768|4044|11812
Graham County|NC|8004|17|8021
Granville County|NC|36205|19652|55857
Greene County|NC|10850|7964|18814
Guilford County|NC|278525|158899|437424
Halifax County|NC|21890|29109|50999
Harnett County|NC|78300|23973|102273
Haywood County|NC|56405|624|57029
Henderson County|NC|94914|3224|98138
Hertford County|NC|8786|14933|23719
Hoke County|NC|21272|15716|36988
Hyde County|NC|3718|1836|5554
Iredell County|NC|128646|19047|147693
Jackson County|NC|33489|745|34234
Johnston County|NC|125349|25546|150895
Jones County|NC|6395|3289|9684
Lee County|NC|38688|11565|50253
Lenoir County|NC|31758|24121|55879
Lincoln County|NC|69940|4340|74280
McDowell County|NC|40754|1708|42462
Macon County|NC|31811|447|32258
Madison County|NC|20035|240|20275
Martin County|NC|13019|10651|23670
Mecklenburg County|NC|508946|282804|791750
Mitchell County|NC|14844|58|14902
Montgomery County|NC|19162|5231|24393
Moore County|NC|70913|11839|82752
Nash County|NC|53531|35650|89181
New Hanover County|NC|160298|29907|190205
Northampton County|NC|8668|12895|21563
Onslow County|NC|131590|27672|159262
Orange County|NC|99495|15928|115423
Pamlico County|NC|10032|2632|12664
Pasquotank County|NC|23059|15355|38414
Pender County|NC|39756|9269|49025
Perquimans County|NC|9694|3347|13041
Person County|NC|26968|10646|37614
Pitt County|NC|99075|57257|156332
Polk County|NC|18633|918|19551
Randolph County|NC|121169|8176|129345
Richmond County|NC|28072|14269|42341
Robeson County|NC|38877|32637|71514
Rockingham County|NC|70875|17655|88530
Rowan County|NC|105923|22392|128315
Rutherford County|NC|58221|6854|65075
Sampson County|NC|35985|17128|53113
Scotland County|NC|16822|13943|30765
Stanly County|NC|50623|6630|57253
Stokes County|NC|44021|1916|45937
Surry County|NC|64926|2749|67675
Swain County|NC|9315|76|9391
Transylvania County|NC|30577|1292|31869
Tyrrell County|NC|2403|1683|4086
Union County|NC|158954|23558|182512
Vance County|NC|20058|22645|42703
Wake County|NC|597546|186510|784056
Warren County|NC|8128|10970|19098
Washington County|NC|6084|6587|12671
Watauga County|NC|48272|877|49149
Wayne County|NC|72135|38499|110634
Wilkes County|NC|62824|2830|65654
Wilson County|NC|42222|31686|73908
Yadkin County|NC|34007|1192|35199
Yancey County|NC|16967|145|17112
Adams County|ND|2279|8|2287
Barnes County|ND|10668|86|10754
Benson County|ND|2889|1|2890
Billings County|ND|772|2|774
Bottineau County|ND|6112|25|6137
Bowman County|ND|3085|3|3088
Burke County|ND|1924|4|1928
Burleigh County|ND|75634|483|76117
Cass County|ND|137308|3428|140736
Cavalier County|ND|3902|4|3906
Dickey County|ND|5104|37|5141
Divide County|ND|2030|5|2035
Dunn County|ND|3003|8|3011
Eddy County|ND|2270|4|2274
Emmons County|ND|3495|2|3497
Foster County|ND|3291|3|3294
Golden Valley County|ND|1637|10|1647
Grand Forks County|ND|60358|1361|61719
Grant County|ND|2328|1|2329
Griggs County|ND|2392|7|2399
Hettinger County|ND|2382|6|2388
Kidder County|ND|2344|6|2350
LaMoure County|ND|4077|6|4083
Logan County|ND|1959|2|1961
McHenry County|ND|5275|8|5283
McIntosh County|ND|2755|6|2761
McKenzie County|ND|4792|8|4800
McLean County|ND|8158|8|8166
Mercer County|ND|8052|17|8069
Morton County|ND|25725|120|25845
Mountrail County|ND|5035|16|5051
Nelson County|ND|3037|8|3045
Oliver County|ND|1796|3|1799
Pembina County|ND|7077|21|7098
Pierce County|ND|4100|20|4120
Ramsey County|ND|10044|41|10085
Ransom County|ND|5338|19|5357
Renville County|ND|2419|2|2421
Richland County|ND|15507|110|15617
Rolette County|ND|2825|21|2846
Sargent County|ND|3753|2|3755
Sheridan County|ND|1278|4|1282
Sioux County|ND|525|7|532
Slope County|ND|709|0|709
Stark County|ND|23026|197|23223
Steele County|ND|1927|3|1930
Stutsman County|ND|20163|140|20303
Towner County|ND|2173|2|2175
Traill County|ND|7809|42|7851
Walsh County|ND|10391|25|10416
Ward County|ND|55718|1542|57260
Wells County|ND|4160|3|4163
Williams County|ND|20639|63|20702
Adams County|OH|27882|87|27969
Allen County|OH|89089|12639|101728
Ashland County|OH|51692|398|52090
Ashtabula County|OH|94041|3586|97627
Athens County|OH|59448|1774|61222
Auglaize County|OH|44959|132|45091
Belmont County|OH|66206|2834|69040
Brown County|OH|43736|384|44120
Butler County|OH|316667|26972|343639
Carroll County|OH|28202|139|28341
Champaign County|OH|37986|892|38878
Clark County|OH|119440|12128|131568
Clermont County|OH|189250|2284|191534
Clinton County|OH|39805|932|40737
Columbiana County|OH|102959|2405|105364
Coshocton County|OH|35810|395|36205
Crawford County|OH|42556|378|42934
Cuyahoga County|OH|814103|380198|1194301
Darke County|OH|51783|238|52021
Defiance County|OH|36208|725|36933
Delaware County|OH|156328|5837|162165
Erie County|OH|67066|6644|73710
Fairfield County|OH|131830|8702|140532
Fayette County|OH|27471|586|28057
Franklin County|OH|805617|247225|1052842
Fulton County|OH|40538|183|40721
Gallia County|OH|29308|812|30120
Geauga County|OH|90514|1198|91712
Greene County|OH|139670|11681|151351
Guernsey County|OH|38486|590|39076
Hamilton County|OH|552330|205952|758282
Hancock County|OH|69828|1158|70986
Hardin County|OH|30990|259|31249
Harrison County|OH|15216|330|15546
Henry County|OH|26857|117|26974
Highland County|OH|42042|604|42646
Hocking County|OH|28639|217|28856
Holmes County|OH|41826|126|41952
Huron County|OH|56556|614|57170
Jackson County|OH|32267|193|32460
Jefferson County|OH|64077|3879|67956
Knox County|OH|58933|496|59429
Lake County|OH|212713|7306|220019
Lawrence County|OH|59864|1278|61142
Licking County|OH|155190|5701|160891
Logan County|OH|43722|742|44464
Lorain County|OH|255410|25799|281209
Lucas County|OH|326868|83926|410794
Madison County|OH|39364|2862|42226
Mahoning County|OH|190848|37433|228281
Marion County|OH|60565|3807|64372
Medina County|OH|165642|2027|167669
Meigs County|OH|23150|206|23356
Mercer County|OH|39761|101|39862
Miami County|OH|96722|2084|98806
Monroe County|OH|14358|61|14419
Montgomery County|OH|395272|111870|507142
Morgan County|OH|14030|432|14462
Morrow County|OH|34025|121|34146
Muskingum County|OH|80020|3256|83276
Noble County|OH|14072|368|14440
Ottawa County|OH|39968|324|40292
Paulding County|OH|18767|173|18940
Perry County|OH|35290|93|35383
Pickaway County|OH|52655|1881|54536
Pike County|OH|27729|258|27987
Portage County|OH|148936|6687|155623
Preble County|OH|41242|180|41422
Putnam County|OH|33012|94|33106
Richland County|OH|108870|11709|120579
Ross County|OH|70835|4840|75675
Sandusky County|OH|55579|1712|57291
Scioto County|OH|75045|2129|77174
Seneca County|OH|53183|1305|54488
Shelby County|OH|46793|935|47728
Stark County|OH|333191|28537|361728
Summit County|OH|436487|78120|514607
Trumbull County|OH|187113|17417|204530
Tuscarawas County|OH|89393|719|90112
Union County|OH|48587|1231|49818
Van Wert County|OH|27762|250|28012
Vinton County|OH|13157|39|13196
Warren County|OH|192431|6940|199371
Washington County|OH|59599|664|60263
Wayne County|OH|109543|1712|111255
Williams County|OH|36117|363|36480
Wood County|OH|116422|3022|119444
Wyandot County|OH|21924|44|21968
Adair County|OK|9757|55|9812
Alfalfa County|OK|5042|229|5271
Atoka County|OK|10460|529|10989
Beaver County|OK|4664|44|4708
Beckham County|OK|18805|876|19681
Blaine County|OK|9518|313|9831
Bryan County|OK|32316|652|32968
Caddo County|OK|18668|820|19488
Canadian County|OK|96058|2933|98991
Carter County|OK|35380|3208|38588
Cherokee County|OK|24567|598|25165
Choctaw County|OK|9866|1658|11524
Cimarron County|OK|2097|6|2103
Cleveland County|OK|202811|10848|213659
Coal County|OK|4402|29|4431
Comanche County|OK|79996|21669|101665
Cotton County|OK|5035|128|5163
Craig County|OK|10017|449|10466
Creek County|OK|55764|1544|57308
Custer County|OK|21456|831|22287
Delaware County|OK|27811|92|27903
Dewey County|OK|4285|16|4301
Ellis County|OK|3920|11|3931
Garfield County|OK|50807|1811|52618
Garvin County|OK|22462|705|23167
Grady County|OK|44994|1268|46262
Grant County|OK|4210|35|4245
Greer County|OK|5181|441|5622
Harmon County|OK|2138|210|2348
Harper County|OK|3219|3|3222
Haskell County|OK|9560|56|9616
Hughes County|OK|9543|742|10285
Jackson County|OK|19255|1985|21240
Jefferson County|OK|5461|42|5503
Johnston County|OK|8015|212|8227
Kay County|OK|37332|962|38294
Kingfisher County|OK|12707|170|12877
Kiowa County|OK|7573|401|7974
Latimer County|OK|7825|83|7908
Le Flore County|OK|37827|1034|38861
Lincoln County|OK|29426|615|30041
Logan County|OK|33886|3804|37690
Love County|OK|7426|168|7594
McClain County|OK|29168|239|29407
McCurtain County|OK|22259|2894|25153
McIntosh County|OK|14238|647|14885
Major County|OK|6846|33|6879
Marshall County|OK|11690|245|11935
Mayes County|OK|28044|169|28213
Murray County|OK|10515|178|10693
Muskogee County|OK|42467|8030|50497
Noble County|OK|9740|204|9944
Nowata County|OK|7267|208|7475
Okfuskee County|OK|7848|1009|8857
Oklahoma County|OK|464387|110890|575277
Okmulgee County|OK|26366|3501|29867
Osage County|OK|31327|5401|36728
Ottawa County|OK|21969|245|22214
Pawnee County|OK|13363|118|13481
Payne County|OK|63353|2814|66167
Pittsburg County|OK|33745|1525|35270
Pontotoc County|OK|26687|902|27589
Pottawatomie County|OK|52969|2014|54983
Pushmataha County|OK|8675|77|8752
Roger Mills County|OK|3276|13|3289
Rogers County|OK|65415|865|66280
Seminole County|OK|17450|1167|18617
Sequoyah County|OK|28204|735|28939
Stephens County|OK|38328|870|39198
Texas County|OK|15617|336|15953
Tillman County|OK|5876|613|6489
Tulsa County|OK|417413|64779|482192
Wagoner County|OK|55340|2720|58060
Washington County|OK|39929|1231|41160
Washita County|OK|10263|80|10343
Woods County|OK|7850|290|8140
Woodward County|OK|17419|317|17736
Baker County|OR|15264|57|15321
Benton County|OR|74506|759|75265
Clackamas County|OR|331571|3082|334653
Clatsop County|OR|33680|195|33875
Columbia County|OR|45651|207|45858
Coos County|OR|56618|258|56876
Crook County|OR|19441|35|19476
Curry County|OR|20574|67|20641
Deschutes County|OR|145374|568|145942
Douglas County|OR|99471|317|99788
Gilliam County|OR|1781|3|1784
Grant County|OR|7070|14|7084
Harney County|OR|6819|19|6838
Hood River County|OR|18568|101|18669
Jackson County|OR|180172|1372|181544
Jefferson County|OR|14996|138|15134
Josephine County|OR|76449|347|76796
Klamath County|OR|57019|432|57451
Lake County|OR|7130|39|7169
Lane County|OR|310685|3369|314054
Lincoln County|OR|40393|193|40586
Linn County|OR|105669|534|106203
Malheur County|OR|24272|370|24642
Marion County|OR|246656|3371|250027
Morrow County|OR|8680|55|8735
Multnomah County|OR|562421|41401|603822
Polk County|OR|64808|424|65232
Sherman County|OR|1648|4|1652
Tillamook County|OR|23102|85|23187
Umatilla County|OR|59995|638|60633
Union County|OR|23968|132|24100
Wallowa County|OR|6731|26|6757
Wasco County|OR|21700|106|21806
Washington County|OR|405642|9616|415258
Wheeler County|OR|1332|0|1332
Yamhill County|OR|84758|872|85630
Adams County|PA|94979|1561|96540
Allegheny County|PA|997295|161861|1159156
Armstrong County|PA|67565|553|68118
Beaver County|PA|155561|10676|166237
Bedford County|PA|48782|238|49020
Berks County|PA|342148|20143|362291
Blair County|PA|122238|2129|124367
Bradford County|PA|61035|311|61346
Bucks County|PA|557647|22376|580023
Butler County|PA|177605|2021|179626
Cambria County|PA|135206|5222|140428
Cameron County|PA|5000|13|5013
Carbon County|PA|62519|976|63495
Centre County|PA|137625|4638|142263
Chester County|PA|426707|30623|457330
Clarion County|PA|38873|484|39357
Clearfield County|PA|77912|1862|79774
Clinton County|PA|37860|625|38485
Columbia County|PA|64227|1246|65473
Crawford County|PA|85448|1547|86995
Cumberland County|PA|213934|7527|221461
Dauphin County|PA|194910|48386|243296
Delaware County|PA|405233|110260|515493
Elk County|PA|31469|89|31558
Erie County|PA|247569|20155|267724
Fayette County|PA|127418|6325|133743
Forest County|PA|5937|1389|7326
Franklin County|PA|137674|4700|142374
Fulton County|PA|14450|151|14601
Greene County|PA|36584|1282|37866
Huntingdon County|PA|42470|2392|44862
Indiana County|PA|84360|2434|86794
Jefferson County|PA|44446|157|44603
Juniata County|PA|23845|151|23996
Lackawanna County|PA|197296|5423|202719
Lancaster County|PA|460171|19035|479206
Lawrence County|PA|85484|3501|88985
Lebanon County|PA|121566|2885|124451
Lehigh County|PA|276286|21440|297726
Luzerne County|PA|290943|10767|301710
Lycoming County|PA|107573|5203|112776
McKean County|PA|41661|1046|42707
Mercer County|PA|106890|6726|113616
Mifflin County|PA|45531|300|45831
Monroe County|PA|131162|22348|153510
Montgomery County|PA|649021|69351|718372
Montour County|PA|17408|256|17664
Northampton County|PA|256895|14986|271881
Northumberland County|PA|90156|1921|92077
Perry County|PA|44779|296|45075
Philadelphia County|PA|626221|661839|1288060
Pike County|PA|50856|3322|54178
Potter County|PA|17128|67|17195
Schuylkill County|PA|140013|3967|143980
Snyder County|PA|38476|428|38904
Somerset County|PA|74603|1863|76466
Sullivan County|PA|6163|168|6331
Susquehanna County|PA|42510|156|42666
Tioga County|PA|40852|333|41185
Union County|PA|39414|3324|42738
Venango County|PA|53390|571|53961
Warren County|PA|41031|149|41180
Washington County|PA|195657|6757|202414
Wayne County|PA|49759|1644|51403
Westmoreland County|PA|348182|8562|356744
Wyoming County|PA|27545|208|27753
York County|PA|385135|24344|409479
Bristol County|RI|47752|398|48150
Kent County|RI|155219|2405|157624
Newport County|RI|74729|2864|77593
Providence County|RI|460033|53040|513073
Washington County|RI|119136|1482|120618
Abbeville County|SC|17691|7187|24878
Aiken County|SC|111457|39354|150811
Allendale County|SC|2465|7672|10137
Anderson County|SC|149818|30020|179838
Bamberg County|SC|5770|9837|15607
Barnwell County|SC|11899|10015|21914
Beaufort County|SC|116606|31290|147896
Berkeley County|SC|118232|44514|162746
Calhoun County|SC|8177|6459|14636
Charleston County|SC|224910|104239|329149
Cherokee County|SC|41525|11278|52803
Chester County|SC|19814|12387|32201
Chesterfield County|SC|29352|15253|44605
Clarendon County|SC|16445|17504|33949
Colleton County|SC|22173|15178|37351
Darlington County|SC|38366|28573|66939
Dillon County|SC|15399|14782|30181
Dorchester County|SC|92621|35266|127887
Edgefield County|SC|15825|10030|25855
Fairfield County|SC|9236|14167|23403
Florence County|SC|75116|56506|131622
Georgetown County|SC|38005|20214|58219
Greenville County|SC|333084|81497|414581
Greenwood County|SC|43783|21846|65629
Hampton County|SC|8999|11359|20358
Horry County|SC|215071|36202|251273
Jasper County|SC|10658|11406|22064
Kershaw County|SC|43965|15188|59153
Lancaster County|SC|54844|18278|73122
Laurens County|SC|46848|16933|63781
Lee County|SC|6419|12359|18778
Lexington County|SC|208023|37522|245545
McCormick County|SC|4985|5083|10068
Marion County|SC|13434|18476|31910
Marlboro County|SC|11987|14729|26716
Newberry County|SC|23301|11626|34927
Oconee County|SC|65177|5613|70790
Orangeburg County|SC|31770|57535|89305
Pickens County|SC|105747|7854|113601
Richland County|SC|181974|176538|358512
Saluda County|SC|12141|5230|17371
Spartanburg County|SC|205680|58565|264245
Sumter County|SC|51825|50414|102239
Union County|SC|19286|9066|28352
Williamsburg County|SC|10939|22637|33576
