geo_name|st|White Alone|Black Alone|Total White and Black
Douglas County|GA|69458|52290|121748
Early County|GA|5324|5462|10786
Echols County|GA|3023|171|3194
Effingham County|GA|43182|7048|50230
Elbert County|GA|13297|5950|19247
Emanuel County|GA|13928|7562|21490
Evans County|GA|6471|3205|9676
Fannin County|GA|23007|83|23090
Fayette County|GA|75802|21395|97197
Floyd County|GA|74055|13640|87695
Forsyth County|GA|149946|4510|154456
Franklin County|GA|19280|1850|21130
Fulton County|GA|409697|405575|815272
Gilmer County|GA|26115|135|26250
Glascock County|GA|2767|253|3020
Glynn County|GA|53823|20726|74549
Gordon County|GA|47032|2005|49037
Grady County|GA|15716|7176|22892
Greene County|GA|9056|6105|15161
Gwinnett County|GA|429563|190167|619730
Habersham County|GA|36893|1444|38337
Hall County|GA|133197|13279|146476
Hancock County|GA|2300|6983|9283
Haralson County|GA|26707|1353|28060
Harris County|GA|25392|5506|30898
Hart County|GA|19515|4710|24225
Heard County|GA|10284|1159|11443
Henry County|GA|112201|75277|187478
Houston County|GA|88626|39998|128624
Irwin County|GA|6811|2472|9283
Jackson County|GA|52496|4103|56599
Jasper County|GA|10271|3037|13308
Jeff Davis County|GA|11463|2224|13687
Jefferson County|GA|7206|9213|16419
Jenkins County|GA|4579|3380|7959
Johnson County|GA|6301|3489|9790
Jones County|GA|20989|7008|27997
Lamar County|GA|12098|5650|17748
Lanier County|GA|7118|2390|9508
Laurens County|GA|29355|17324|46679
Lee County|GA|21763|5268|27031
Liberty County|GA|29881|26805|56686
Lincoln County|GA|5257|2570|7827
Long County|GA|9026|3647|12673
Lowndes County|GA|63485|39142|102627
Lumpkin County|GA|28277|340|28617
McDuffie County|GA|12518|8706|21224
McIntosh County|GA|8811|5149|13960
Macon County|GA|5177|8933|14110
Madison County|GA|24634|2355|26989
Marion County|GA|5254|2856|8110
Meriwether County|GA|12741|8605|21346
Miller County|GA|4266|1720|5986
Mitchell County|GA|11264|11219|22483
Monroe County|GA|19365|6268|25633
Montgomery County|GA|6291|2397|8688
Morgan County|GA|12984|4208|17192
Murray County|GA|35320|245|35565
Muscogee County|GA|87870|86403|174273
